,x,y,class,B8,B11
1862,764650.9223,52530.64874,1,0.375,0.196466759
1863,764368.3306,53355.44525,1,0.547200024,0.465977997
1864,763852.0136,52346.27265,1,0.390700012,0.166447729
1865,763772.0869,53427.84771,1,0.477299988,0.211531699
1866,764480.4271,51823.58695,1,0.384900004,0.182982609
1867,764950.0207,53258.71194,1,0.387199998,0.169978604
1868,764916.26,53163.43576,1,0.45480001,0.166352659
1869,764795.3951,53441.12131,1,0.374000013,0.167403892
1870,763903.6295,52702.90023,1,0.412400007,0.186488062
1871,765419.8187,53677.38719,1,0.350100011,0.13217777
1872,764331.6581,53645.23121,1,0.373199999,0.254392266
1873,764563.0613,53175.66783,1,0.33160001,0.27082029
1874,766437.9752,52855.56114,1,0.446799994,0.205447599
1875,764870.4311,51812.85999,1,0.402799994,0.181874081
1876,764484.1138,53457.18429,1,0.432000011,0.256352365
1877,765138.1603,53836.00929,1,0.355800003,0.148835748
1878,763881.7435,51865.7786,1,0.433899999,0.227100953
1879,764043.9796,52532.23779,1,0.336199999,0.211120769
1880,763866.7957,52323.95194,1,0.426400006,0.178870365
1881,763843.6104,53355.53056,1,0.208499998,0.056811657
1882,765297.1626,52945.35089,1,0.400000006,0.155431896
1883,765257.0824,53631.62064,1,0.381900012,0.155792251
1884,764082.8423,51907.97133,1,0.371399999,0.201126486
1885,765325.837,53020.71131,1,0.414000005,0.160306647
1886,764024.4075,53470.61707,1,0.432799995,0.24123922
1887,764865.1664,51762.53076,1,0.395200014,0.170988932
1888,764837.3511,53900.942,1,0.388999999,0.16348429
1889,766500.3038,52301.11476,1,0.40079999,0.206447452
1890,764733.2271,53255.04637,1,0.398999989,0.287064433
1891,764430.9438,52250.72814,1,0.379200011,0.16584979
1892,765120.8004,52806.97007,1,0.371800005,0.170111388
1893,765103.6594,52794.01393,1,0.388399988,0.184265375
1894,764944.1677,53648.5857,1,0.371199995,0.179412663
1895,763993.9513,52969.02312,1,0.309399992,0.230392933
1896,766282.7274,52633.72971,1,0.355500013,0.183671594
1897,763449.8614,53120.06582,1,0.340999991,0.18527621
1898,764019.3416,54087.79858,1,0.394600004,0.167172939
1899,765441.286,53883.38684,1,0.426800013,0.214935124
1900,766147.4179,53244.19112,1,0.382400006,0.16801323
1901,765419.0264,52940.40103,1,0.362399995,0.181495681
1902,765372.901,51644.07853,1,0.3574,0.213836506
1903,765455.0263,53672.58606,1,0.369199991,0.140682757
1904,763605.8988,53145.00796,1,0.448000014,0.148139611
1905,763728.612,52682.86353,1,0.350899994,0.201796547
1906,765524.0577,52816.44395,1,0.349700004,0.151168793
1907,764341.4586,51831.165,1,0.414400011,0.205181345
1908,763790.5474,51861.49813,1,0.303799987,0.141846925
1909,764330.7562,51968.21114,1,0.384600013,0.178780332
1910,763995.3118,53015.56689,1,0.326000005,0.132839218
1911,765530.1779,53418.62871,1,0.361200005,0.172572359
1912,765422.5792,51777.82989,1,0.4384,0.172339335
1913,765103.8058,53425.53311,1,0.369899988,0.175903335
